호선,역명,구분,할인,시간대,이용량
3,압구정,승차,우대권,22시-23시,16586
3,압구정,하차,일반,22시-23시,91074
3,압구정,하차,우대권,22시-23시,8193
7,남구로,승차,일반,22시-23시,90814
7,남구로,승차,우대권,22시-23시,5410
7,남구로,하차,일반,22시-23시,149183
7,남구로,하차,우대권,22시-23시,8502
7,철산,승차,일반,22시-23시,158397
7,철산,승차,우대권,22시-23시,8929
7,철산,하차,일반,22시-23시,301257
7,철산,하차,우대권,22시-23시,13938
2,을지로입구,승차,일반,23시-24시,152962
2,을지로입구,승차,우대권,23시-24시,4222
2,을지로입구,하차,일반,23시-24시,63428
2,을지로입구,하차,우대권,23시-24시,1587
2,구로디지털단지,승차,일반,23시-24시,181768
2,구로디지털단지,승차,우대권,23시-24시,5883
2,구로디지털단지,하차,일반,23시-24시,499183
2,구로디지털단지,하차,우대권,23시-24시,13513
3,압구정,승차,일반,23시-24시,108508
3,압구정,승차,우대권,23시-24시,3481
3,압구정,하차,일반,23시-24시,51580
3,압구정,하차,우대권,23시-24시,3328
7,남구로,승차,일반,23시-24시,37572
7,남구로,승차,우대권,23시-24시,2138
7,남구로,하차,일반,23시-24시,77564
7,남구로,하차,우대권,23시-24시,5425
7,철산,승차,일반,23시-24시,70689
7,철산,승차,우대권,23시-24시,2731
7,철산,하차,일반,23시-24시,184157
7,철산,하차,우대권,23시-24시,7366
2,을지로입구,승차,일반,00시-01시,8221
2,을지로입구,승차,우대권,00시-01시,155
2,을지로입구,하차,일반,00시-01시,31784
2,을지로입구,하차,우대권,00시-01시,847
2,구로디지털단지,승차,일반,00시-01시,10376
2,구로디지털단지,승차,우대권,00시-01시,341
2,구로디지털단지,하차,일반,00시-01시,40291
2,구로디지털단지,하차,우대권,00시-01시,972
3,압구정,승차,일반,00시-01시,4916
3,압구정,승차,우대권,00시-01시,142
3,압구정,하차,일반,00시-01시,18902
3,압구정,하차,우대권,00시-01시,1079
7,남구로,승차,일반,00시-01시,1755
7,남구로,승차,우대권,00시-01시,103
7,남구로,하차,일반,00시-01시,9633
7,남구로,하차,우대권,00시-01시,616
7,철산,승차,일반,00시-01시,4410
7,철산,승차,우대권,00시-01시,197
7,철산,하차,일반,00시-01시,42222
7,철산,하차,우대권,00시-01시,1102
2,을지로입구,승차,일반,01시-02시,32
2,을지로입구,승차,우대권,01시-02시,4
2,을지로입구,하차,일반,01시-02시,1993
2,을지로입구,하차,우대권,01시-02시,53
2,구로디지털단지,승차,일반,01시-02시,42
2,구로디지털단지,승차,우대권,01시-02시,2
2,구로디지털단지,하차,일반,01시-02시,937
2,구로디지털단지,하차,우대권,01시-02시,34
3,압구정,승차,일반,01시-02시,15
3,압구정,승차,우대권,01시-02시,1
3,압구정,하차,일반,01시-02시,799
3,압구정,하차,우대권,01시-02시,31
7,남구로,승차,일반,01시-02시,9
7,남구로,승차,우대권,01시-02시,0
